WKT,of_Students,Owner_Name,Facility_Identifier,State_Name,Last_Editor,Facility_Area,Feature_Code,Full_Address,Name_of_Facility,Last_Update_Date,Capture_Method,Owner_Type,Municipality_Name,Location_Type,Description,Shape_X,Shape_Y
"POINT (-10687266.5450758 4318571.58783691)",,,,OK,CBALSIGER,,School: Elementary,2249 S Phoenix Ave,Eugene Field Elementary,2016/04/22 18:48:51,Placed on Map,,Tulsa,Building,Public School,-10687266.5451,4318571.58784
"POINT (-10677415.6389508 4318362.18326089)",,,,OK,CBALSIGER,,School: Elementary,2327 S Darlington Ave,Hoover Elementary,2016/04/22 18:51:54,Placed on Map,,Tulsa,Building,Public School,-10677415.639,4318362.18326
"POINT (-10681521.4514708 4321739.22318115)",,,,OK,CBALSIGER,,School: Elementary,2601 E 5th Pl,Kendall-Whittier Elementary,2016/04/22 18:52:56,Placed on Map,,Tulsa,Building,Public School,-10681521.4515,4321739.22318
"POINT (-10676884.8759078 4311797.51661565)",,,,OK,CBALSIGER,,School: Elementary,5702 S Irvington Ave,Key Elementary,2016/04/22 18:53:23,Placed on Map,,Tulsa,Building,Public School,-10676884.8759,4311797.51662
"POINT (-10679966.3489223 4319341.2807582)",,,,OK,CBALSIGER,,School: Elementary,1727 S Harvard Ave,Lanier Elementary,2016/04/22 18:54:05,Placed on Map,,Tulsa,Building,Public School,-10679966.3489,4319341.28076
"POINT (-10684848.2060633 4319129.94288934)",,,,OK,CBALSIGER,,School: Elementary,1920 S Cincininnati Ave,Lee Elementary,2016/04/22 18:54:26,Placed on Map,,Tulsa,Building,Public School,-10684848.2061,4319129.94289
"POINT (-10675156.9112497 4319898.53454351)",,,,OK,CBALSIGER,,School: Elementary,1515 S 71st E Ave,Jones Elementary,2016/04/22 18:52:46,Placed on Map,,Tulsa,Building,Public School,-10675156.9112,4319898.53454
"POINT (-10670887.7920495 4317748.37126574)",,,,OK,cbalsiger,,School: Elementary,10620 E 27th St,Columbus Elementary,2016/02/11 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10670887.792,4317748.37127
"POINT (-10670600.5984541 4319551.10220974)",,,,OK,CBALSIGER,,School: Elementary,10818 E 17th St,Peary Elementary,2016/04/22 19:02:29,Placed on Map,,Tulsa,Building,Public School,-10670600.5985,4319551.10221
"POINT (-10668986.9126975 4319370.32953985)",,,,OK,CBALSIGER,,School: Elementary,1808 S 123rd E Ave,Cooper Elementary,2016/04/22 18:45:12,Placed on Map,,Tulsa,Building,Public School,-10668986.9127,4319370.32954
"POINT (-10669972.3046155 4321425.83494218)",,,,OK,CBALSIGER,,School: Elementary,737 S Garnett Rd,Lewis and Clark Elementary,2016/04/22 18:54:39,Placed on Map,,Tulsa,Building,Public School,-10669972.3046,4321425.83494
"POINT (-10672971.1972274 4321112.67533563)",,,,OK,CBALSIGER,,School: Elementary,931 S 89th E Ave,Lindbergh Elementary,2016/04/22 18:54:57,Placed on Map,,Tulsa,Building,Public School,-10672971.1972,4321112.67534
"POINT (-10670486.7601776 4321815.40604061)",,,,OK,CBALSIGER,,School: Elementary,10908 E 5th St,ECDC Reed,2016/04/22 18:47:36,Placed on Map,,Tulsa,Building,Public School,-10670486.7602,4321815.40604
